,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
18,990,0,7262.130948961056,1,11126.051230670106,44.613977681608645,0.2856757249935247,0.5551807198010131,6.0
19,854,1,5342.978137465717,1,11201.561443697716,39.404036347945045,0.28461619571101543,0.5773413863539949,4.0
20,995,0,7422.529419093003,5,11159.511187889808,29.610286617504425,0.28522077128496404,0.560589965790099,6.0
21,228,1,9501.601355880333,4,11078.73111848698,43.877492906088776,0.2862679692819658,0.5484623706411021,7.0
22,663,0,11148.290638841298,3,11213.062149535803,35.99538838824812,0.2844334902336554,0.583659842181106,3.0
23,365,1,8010.594437721083,1,11200.735186152055,22.673709681154495,0.2846289796851179,0.5769239630436613,4.0
24,673,1,11625.847424611235,0,11218.786778519841,17.684983216562255,0.2843388709863088,0.5872040805516014,2.0
25,124,1,12911.372724793995,2,11253.754794794748,11.27924713308168,0.28368933826630904,0.6183382584045929,0.0
26,730,2,11890.323829474019,4,11243.037137986606,29.021147948066087,0.2839042589220093,0.6064629976669158,0.0
27,485,0,12333.008067456652,4,11227.90740599129,16.52113092758778,0.28418247037231537,0.593526079192508,0.0
28,228,0,7361.0554349698805,1,11240.700858635515,13.95708689165369,0.28394896788664564,0.6041803695473723,0.0
29,481,0,10657.581566082225,2,11160.994616911194,28.236850558358952,0.28520079995277076,0.5610571892821259,6.0
30,21,1,9401.459434332666,4,11188.023275198391,26.427385585689414,0.28482052722578177,0.5710249859324416,5.0
31,550,0,4129.425605623207,1,11191.781111358474,22.100477245612154,0.28476486230604237,0.572672764842743,5.0
32,397,0,12212.449194026853,4,11252.067911735,30.18137622284846,0.2837243298372287,0.6162981626365376,0.0
33,188,0,12232.423789973767,1,11173.353243892481,23.27559605703505,0.2850309846030943,0.5652463810390047,6.0
34,47,0,8727.791055863407,1,11193.523175768718,25.860611828052743,0.2848102170652106,0.566032354991564,6.0
35,508,1,5545.660121424629,4,11229.833264838519,40.164508223452046,0.284263121515322,0.5829872902504152,3.0
36,898,0,9236.052681810976,1,11253.0415128368,13.627370110945154,0.2837041914723345,0.6174670034545148,0.0
37,762,0,10742.752811055923,1,11203.724669948004,29.965633365823557,0.28458251855455674,0.5784559720623978,4.0
38,270,2,6705.512806081422,0,11086.302759106597,44.90515411782709,0.286177782430837,0.549521045694922,7.0
39,329,2,8394.416466779458,0,11203.175687123288,20.270169173945714,0.28459105089398373,0.5781678867179368,4.0
40,645,2,9610.838583379416,2,11227.115925824723,16.80514649322098,0.28419634955615447,0.5929413915485943,0.0
41,926,0,11479.242942782223,1,11179.4803133858,42.8619551142012,0.28494434461051077,0.5675421858660591,5.0
42,401,1,5391.565206013284,0,11222.003197712122,38.91373978432535,0.2843878344492834,0.5786322256255397,4.0
43,110,0,11794.175721855348,1,11194.366708319993,44.07419342016322,0.2847983113864259,0.5663474814937505,5.0
44,361,1,9518.342188766008,0,11173.619359093183,44.46088496647738,0.28502720896058237,0.5653409529135606,6.0
45,820,1,12500.407927872287,4,11081.055922715905,54.51208076780982,0.2862404157925921,0.54878232076504,7.0
46,779,1,12528.419434903011,4,11161.6797684752,43.27891051580344,0.2851915472445198,0.5612754065582303,6.0
47,748,1,4091.4754239088447,5,11238.098317990947,20.59199925250693,0.2841264305638131,0.5881385242365416,1.0
48,580,1,11826.864279148756,1,11123.070615190118,54.48556736818336,0.2857640838922291,0.551424969823527,7.0
49,574,1,6883.55916674907,1,11284.16841811201,25.302100367131224,0.28322323234937374,0.6366361473777148,0.0
50,755,2,12868.956382050363,4,11294.807468472929,18.956514293238307,0.28295854479242366,0.663731280170123,0.0
51,398,1,5944.088474493904,4,11292.39622966348,30.23012675667704,0.28320539675795264,0.6266346344390128,0.0
52,715,1,13075.645283783913,4,11194.197974735638,41.075892485250996,0.28472864826824973,0.5737733819972393,5.0
53,540,0,13037.122843219455,0,11175.833149817227,49.128731819558375,0.285052825002935,0.5600457989200854,6.0
54,574,2,6152.248348877621,1,11215.58793102029,43.57145200123015,0.2844870272989207,0.575394400138541,5.0
55,548,1,12016.357460080619,1,11197.904686570273,46.59406410247852,0.28474801492849716,0.5677024540035078,5.0
56,459,0,12508.016866642245,1,11272.495797566165,30.756284706514222,0.2834822871727248,0.619555579691927,0.0
57,225,1,8777.857338869127,0,11149.119937092402,49.726684945410106,0.2853667161809853,0.5591361621963268,6.0
58,41,2,9547.07791545507,1,11169.24304461769,47.8522517385437,0.2850881662291606,0.5637912559855974,6.0
59,667,0,8243.992657239814,5,11307.852816435961,25.355543189298352,0.2828325241875779,0.6602109719641053,0.0
60,820,1,11976.193971109094,4,11085.520885953421,57.39785739308907,0.28621132126454724,0.546876711175667,7.0
61,609,1,10930.67932373253,1,11192.989199625385,36.95350890106777,0.28474680174006667,0.5732187962402381,5.0
62,772,1,5723.224049808087,5,11224.383738536715,42.13722524847294,0.2843669325027056,0.5775685475565178,4.0
63,370,2,8777.514425865686,4,11165.74765796503,34.837091469154096,0.28513623202066807,0.5626035510133238,6.0
64,622,1,13439.84498060782,0,11195.431503133093,46.52085081474495,0.2847831885851166,0.5667476210070466,5.0
65,0,0,5428.458901739647,4,11151.000596240743,52.75843254883826,0.28539613379998224,0.5566418386292198,6.0
66,763,0,5933.108911742792,0,11198.3990970452,43.12362581614239,0.284664849111096,0.5757655921176834,4.0
67,3,1,11068.465111441361,4,11213.692566137532,36.56183116387715,0.2844232007914524,0.5840361823068414,3.0
68,996,1,5516.379330852728,1,11120.421437739391,54.34097574996448,0.28574696564567614,0.5540434197676849,6.0
69,643,1,9396.077458481495,4,11297.311070775315,29.130694528188332,0.2830934864031039,0.6342075153796546,0.0
70,315,0,5295.1441479996965,5,11237.29974549995,33.69349091418347,0.28401284082008643,0.601077219587075,0.0
71,774,1,7753.474095176573,0,11144.206921972298,51.35354214715757,0.2854313527345319,0.5578602884992794,6.0
72,7,2,5743.086432503851,4,11163.212424134075,47.37821849953186,0.2851707831393009,0.5617691947212919,6.0
73,509,2,13013.543071421218,5,11273.728749319851,27.91837909415384,0.2834561794060461,0.6211305801404462,0.0
74,714,2,9615.670083000932,4,11183.410294770252,25.43911114873544,0.2848878398021135,0.5691011932471378,5.0
75,94,2,6224.735445234113,5,11042.058626060723,60.327451392246324,0.28671598721194347,0.5438250895136474,7.0
76,982,1,9491.46395325361,1,11236.209612215303,31.242179425130395,0.284033023019042,0.6001381540865054,0.0
77,89,0,13125.02907961386,1,11287.36452505572,13.423028865655663,0.28279045307828554,0.8476570662901101,0.0
78,509,1,5269.929046960003,5,11119.20533192369,58.01625638468417,0.28582601171755,0.5491519866534857,7.0
79,508,2,11316.496607258221,4,11228.05731029075,42.07235518761249,0.284309066260391,0.5795138514875213,3.0
80,529,0,12147.531243600863,4,11202.012012127689,41.79669019061785,0.2846092061529345,0.5775709234225219,4.0
81,384,1,11004.056504143698,1,11133.399147509892,54.54369210127802,0.28561916929249087,0.553050128403343,7.0
82,49,2,9536.867279597529,2,11233.326700194126,37.078263968147056,0.2840857489307282,0.597737716888708,0.0
83,847,2,9980.75408010595,4,11256.671972867684,16.770589720529344,0.28362768282067485,0.6220396246553113,0.0
84,714,1,13499.998648059884,4,11245.990322378322,37.96719873952899,0.2840120051011633,0.5906269237447492,0.0
85,7,1,6040.975130530035,4,11168.30044995464,50.719782735088,0.2851699037539774,0.5581184473290877,6.0
86,302,2,8327.578812469474,5,11195.9975637599,44.03601325235678,0.284701465832407,0.5746147209736197,5.0
87,437,0,10143.314089526419,5,11209.30585023995,46.77025595523125,0.2846367696980505,0.5660584317924608,5.0
88,209,1,11878.085983226465,1,11225.474017537572,36.599289025849714,0.28422495044718993,0.5917516327173041,0.0
89,482,1,9953.299062863316,0,11317.912675752346,15.31201058127834,0.2824801406420619,0.8477395438298766,0.0
90,121,1,13562.918804189885,4,11312.145231968,19.451704109810336,0.28271339595122474,0.678123373559824,0.0
91,94,2,8534.399000819432,4,11039.995167409177,57.34308376812051,0.2867288490127289,0.5454171680607645,7.0
92,134,1,7034.429688770145,2,11172.080333113658,47.88333860303902,0.285110328146418,0.5604719028137752,6.0
93,148,1,13591.708503046928,1,11228.127656096523,41.1386737293751,0.2842906694044348,0.5819985049710199,3.0
94,238,1,12019.81388186249,4,11237.63157449623,37.257226617216475,0.28413429852604416,0.587830581398366,2.0
95,350,1,6436.37507203742,2,11231.830268574902,40.434027118648714,0.2842305897865091,0.5841758082486466,3.0
96,308,0,11814.906619348036,4,11272.877597955769,34.713688738043,0.2836059965198843,0.6035505684019961,0.0
97,993,2,9743.050955358385,4,11222.12962253029,36.94857362179557,0.2842824363838445,0.589420540714501,0.0
98,702,1,13632.646758071996,2,11171.056183832181,28.823977294864275,0.2850630315064918,0.564425135888118,6.0
99,774,1,8050.352952760247,2,11162.763029287431,51.595315911297774,0.28523369171417823,0.5579842787216072,6.0
100,182,2,13621.988286549458,1,11187.506084458455,48.05663596287607,0.28490514637222747,0.5622836864826546,6.0
101,485,0,10070.093461065471,4,11245.9327124529,38.18375715033049,0.28399145344441107,0.593651998377471,0.0
