,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
42,484,2,4398.754483060819,2,0,1,2,1,0.38800547046281036,11185.599216681045,30.685701781233085,0.28485603548790406,0.5700009626596584,5.0
43,624,1,11910.28637688592,3,1,1,0,1,0.47824632546877766,11190.313130866865,34.85173746254161,0.28478669897014114,0.5720200879353525,5.0
44,245,0,7257.991575230017,5,2,1,1,1,0.4226524470033717,11276.04373231321,14.47743176722051,0.2831721556012002,0.6604795803705616,0.0
45,574,0,4503.381188983284,0,0,1,2,1,0.15788499080631183,11238.379141126288,14.455533068094882,0.2839926856377771,0.6020221073806867,0.0
46,585,2,8615.876987521195,3,2,1,0,1,0.09281376118502874,11215.290618022587,16.934504484665144,0.2843969808694448,0.5850055431666066,3.0
47,268,2,7478.152134758733,4,0,1,2,1,0.534710250460805,11215.438034210014,34.70744355224911,0.2843945521184692,0.5850960942280763,3.0
48,277,2,6931.155012495761,5,1,1,2,1,0.5984192716277696,11271.977507263005,27.03573135435559,0.2832756938115674,0.6493640863480835,0.0
49,966,1,5359.849611788062,1,1,1,1,1,0.599814741499129,11252.817735533063,32.80461045386851,0.2837088339284075,0.617196288985506,0.0
50,694,2,9537.07900684669,2,1,1,1,1,0.5998026478368735,11215.53692736421,40.77646729390633,0.28439292184829507,0.5851569482208054,3.0
51,257,2,5012.575770432979,1,2,1,1,1,0.5977213557544702,10979.839950550222,67.71296740323399,0.28738475804221103,0.5414135505214309,7.0
52,683,2,10846.888672775696,5,1,1,1,1,0.5514186710624293,11283.109653648104,18.711582594400877,0.2829734298481136,0.6909639978805282,0.0
53,773,0,9554.062928418167,5,1,1,0,1,0.5918258776958467,11246.582233514295,33.516021983679586,0.28383503226164625,0.6101210459154461,0.0
54,905,1,9351.871997307286,2,1,1,0,1,0.5999927278609363,11261.72939905018,30.40530582515845,0.28351706196550314,0.6290354399507143,0.0
55,181,1,12862.258487331845,4,0,1,1,1,0.5999918983828297,11277.234114387848,25.279330783302054,0.28314085375522574,0.6641451881427011,0.0
56,368,1,10175.523117805382,1,1,1,1,1,0.5999993112701766,11255.128021828143,32.22403544337255,0.28366049982373814,0.6200523614738375,0.0
57,110,0,12093.22774783924,1,1,1,1,1,0.5999947665029749,11176.013171020622,47.210767463743885,0.2849935830745954,0.5662237212234451,5.0
58,373,2,9905.20097080423,4,2,1,1,1,0.5992639474569577,11194.68732626853,44.280770113485545,0.2847212753371889,0.5740002843915947,5.0
59,569,1,6159.774718236989,1,1,1,1,1,0.5999999999888533,11262.427588351391,30.20365700972919,0.2835013892773773,0.6300647185532721,0.0
60,621,1,8897.560564793743,1,0,1,1,1,0.4388561732378585,11178.192168621252,34.368503103210585,0.28496270367729876,0.5670462919201825,5.0
61,115,0,9983.430141220118,4,1,0,1,1,0.5999999998884522,11224.60313597944,42.43777443637232,0.28434692902667263,0.5800282021697611,4.0
62,202,1,11182.475259447052,5,1,1,1,1,0.5999709468048403,11229.920132195552,38.02324041722819,0.28414689830634565,0.5950468653464042,0.0
63,804,1,7250.6499260702185,4,1,1,1,1,0.599999602544393,11239.474931216108,35.99678034096315,0.2839721525779765,0.6030206394735372,0.0
64,842,1,9471.416433312164,3,1,1,2,1,0.5999932881008803,11213.645551784679,41.140541011053216,0.28442396918996876,0.5840079991501725,3.0
65,681,1,9867.764272607272,1,0,1,1,1,0.5999968295645773,11077.577420068696,59.149143019281894,0.2862816050293215,0.5483286172246058,7.0
