,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Temperature overshoot 2105
563,0.2378116225437586,2065.00000002832,0.0010000000000361,0.0044547904605365,10126.277008062,22.639866766832867,5.0
612,0.2382302305092436,2065.000000000099,0.0010000000000204,0.0022374402068108,10126.326553915378,22.64956018506613,5.0
666,0.2386733846036506,2065.000000006471,0.0010000000015512,0.0015043196245131,10126.376549514369,22.65981505844293,5.0
669,0.2365053320094968,2065.000000004626,0.0010000000000214,0.0026719958841254,10126.1078834832,22.60957673399705,5.0
686,0.2369450338315699,2065.0000000000846,0.0010000000000807,0.0041282759733789,10126.167269395444,22.61977942990394,5.0
1220,0.1025209747844754,2065.0000075018115,0.0010000000458176,0.0011121987029112,9866.164039869984,15.02993532075046,6.0
1448,0.1007656266335295,2065.00000142821,0.0010000000021591,0.0067411328990218,9861.424251354943,14.97967452623661,6.0
1711,0.1004267856972174,2065.0000000047835,0.001000000000004,0.0052294403687062,9860.498996550708,14.969946103723116,6.0
1725,0.1000732002012089,2065.000000002307,0.001,0.0010485436653678,9859.529892536688,14.959785518844278,6.0
1757,0.1021689428825629,2065.000000043731,0.0010000000003573,0.0015353759511432,9865.220668045322,15.019872549235936,6.0
1839,0.1028709863918624,2065.0000001329554,0.0010000000000026,0.0015757801741352,9867.09857168229,15.039928148719827,6.0
1899,0.1011245096707048,2065.00000023145,0.0010000000000026,0.003543457238979,9862.400587626424,14.989968469174473,6.0
1982,0.1032167756027426,2065.0000013968106,0.001000000000218,0.0024776414153976,9868.018329933926,15.049793419202814,6.0
2102,0.1014708642697687,2065.000000064393,0.0010000000000101,0.002106953682501,9863.3392844332,14.999894185165603,6.0
2107,0.1018235467052191,2065.0000000279747,0.0010000000006351,0.0035102101428968,9864.291555369007,15.009992129717505,6.0
2685,0.2382462496485011,2065.000004427284,0.0010000000713717,0.0023818195953993,10126.328329453514,22.649931781839413,5.0
2700,0.2394302889470111,2065.000000109321,0.001000000000071,0.0055060423206792,10126.456119792632,22.677313844752035,5.0
2707,0.2378162399677051,2065.00003386588,0.0010000000068631,0.0032215607041116,10126.277533037335,22.639979675511125,5.0
2906,0.2369497446070838,2065.000000000696,0.0010000000000001,0.0024046994925252,10126.167892193718,22.61988869895213,5.0
2921,0.2386737164927766,2065.0000000107925,0.0010000000000101,0.0031408655966451,10126.376587569312,22.65982273665805,5.0
2984,0.2373837724380937,2065.000000000346,0.001,0.0011630732091851,10126.22403793113,22.629952721670985,5.0
3007,0.2365097590582272,2065.000000000053,0.0010000000000002,0.0038589384350525,10126.108493873026,22.60967949230008,5.0
3023,0.2360867226270642,2065.0000000000014,0.0010000000000001,0.0020106054602559,10126.049023913223,22.59985686849272,5.0
3035,0.2391088830709508,2065.0000000000105,0.001,0.0017022169287288,10126.423229340167,22.66988582423088,5.0
3527,0.1028710364972837,2065.0000021324986,0.0010000000203105,0.001244956412672,9867.098683187423,15.039930005547925,6.0
3590,0.1007755783968932,2065.0000057926563,0.0010000000666016,0.0025637776486541,9861.451307668958,14.979961038403928,6.0
3612,0.103217808091822,2065.000000073251,0.001000000220775,0.0011720688456009,9868.02085501294,15.049822579190163,6.0
3687,0.101813504670137,2065.0000014089906,0.0010000000807919,0.0020705519508246,9864.26441047423,15.009705028945245,6.0
3715,0.1021715667903407,2065.000080582868,0.0010000000011784,0.0069576299128742,9865.227631879354,15.01996473368676,6.0
4013,0.1014725961677752,2065.000000074905,0.0010000000066955,0.0038222307966908,9863.343962906682,14.99994379737024,6.0
4090,0.1000780817079455,2065.000004939845,0.0010000000004558,0.0028302783707576,9859.543291320657,14.959926903288904,6.0
4172,0.100428469371042,2065.000000000024,0.001000000001328,0.002283012531171,9860.503601086515,14.969994462165836,6.0
4179,0.1011253233898215,2065.0000000475084,0.0010000000000051,0.0060659093710813,9862.40279724953,14.989991759909271,6.0
4215,0.1025209507611256,2065.000000000048,0.0010000000000002,0.0012483558739684,9866.164028267687,15.029933034851018,6.0
